Data;Chuva (mm);Nivel (cm);Vazão (m³/s);;;;;0
12/01/2023 20:00;--;3163,375;--;;;;;
12/01/2023 21:00;--;3164;--;;;;;
12/01/2023 22:00;--;3163,375;--;;;;;
12/01/2023 23:00;--;3163,375;--;;;;;
13/01/2023 00:00;--;3163,375;--;;;;;
13/01/2023 01:00;--;3162,75;--;;;;;
13/01/2023 02:00;--;3163,375;--;;;;;
13/01/2023 03:00;--;3163,375;--;;;;;
13/01/2023 04:00;--;3164;--;;;;;
13/01/2023 05:00;--;3163,375;--;;;;;
13/01/2023 06:00;--;3163,375;--;;;;;
13/01/2023 07:00;--;3163,375;--;;;;;
13/01/2023 08:00;--;3163,375;--;;;;;
13/01/2023 09:00;--;3162,75;--;;;;;
13/01/2023 10:00;--;3162,125;--;;;;;
13/01/2023 11:00;--;3161,5;--;;;;;
13/01/2023 12:00;--;3160,875;--;;;;;
13/01/2023 13:00;--;3161,5;--;;;;;
13/01/2023 14:00;--;3162,125;--;;;;;
13/01/2023 15:00;--;3162,125;--;;;;;
13/01/2023 16:00;--;3162,75;--;;;;;
13/01/2023 17:00;--;3162,125;--;;;;;
13/01/2023 18:00;--;3162,75;--;;;;;
13/01/2023 19:00;--;3162,125;--;;;;;
13/01/2023 20:00;--;3162,75;--;;;;;
13/01/2023 21:00;--;3162,75;--;;;;;
13/01/2023 22:00;--;3162,75;--;;;;;
13/01/2023 23:00;--;3164;--;;;;;
14/01/2023 00:00;--;3163,375;--;;;;;
14/01/2023 01:00;--;3164;--;;;;;
14/01/2023 02:00;--;3163,375;--;;;;;
14/01/2023 03:00;--;3163,375;--;;;;;
14/01/2023 04:00;--;3164;--;;;;;
14/01/2023 05:00;--;3163,375;--;;;;;
14/01/2023 06:00;--;3163,375;--;;;;;
14/01/2023 07:00;--;3163,375;--;;;;;
14/01/2023 08:00;--;3163,375;--;;;;;
14/01/2023 09:00;--;3162,75;--;;;;;
14/01/2023 10:00;--;3163,375;--;;;;;
14/01/2023 11:00;--;3163,375;--;;;;;
14/01/2023 12:00;--;3164;--;;;;;
14/01/2023 13:00;--;3163,375;--;;;;;
14/01/2023 14:00;--;3163,375;--;;;;;
14/01/2023 15:00;--;3162,75;--;;;;;
14/01/2023 16:00;--;3163,375;--;;;;;
14/01/2023 17:00;--;3164,625;--;;;;;
14/01/2023 18:00;--;3164;--;;;;;
14/01/2023 19:00;--;3164;--;;;;;
14/01/2023 20:00;--;3164;--;;;;;
14/01/2023 21:00;--;3164;--;;;;;
14/01/2023 22:00;--;3164;--;;;;;
14/01/2023 23:00;--;3164;--;;;;;
15/01/2023 00:00;--;3164;--;;;;;
15/01/2023 01:00;--;3166,5;--;;;;;
15/01/2023 02:00;--;3165,25;--;;;;;
15/01/2023 03:00;--;3165,875;--;;;;;
15/01/2023 04:00;--;3165,875;--;;;;;
15/01/2023 05:00;--;3167,125;--;;;;;
15/01/2023 06:00;--;3167,75;--;;;;;
15/01/2023 07:00;--;3167,75;--;;;;;
15/01/2023 08:00;--;3168,375;--;;;;;
15/01/2023 09:00;--;3169;--;;;;;
15/01/2023 10:00;--;3169;--;;;;;
15/01/2023 11:00;--;3169,625;--;;;;;
15/01/2023 12:00;--;3170,25;--;;;;;
15/01/2023 13:00;--;3169,625;--;;;;;
15/01/2023 14:00;--;3170,25;--;;;;;
15/01/2023 15:00;--;3170,25;--;;;;;
15/01/2023 16:00;--;3170,875;--;;;;;
15/01/2023 17:00;--;3170,875;--;;;;;
15/01/2023 18:00;--;3171,5;--;;;;;
15/01/2023 19:00;--;3172,75;--;;;;;
15/01/2023 20:00;--;3172,75;--;;;;;
15/01/2023 21:00;--;3173,375;--;;;;;
15/01/2023 22:00;--;3175,25;--;;;;;
15/01/2023 23:00;--;3175,25;--;;;;;
16/01/2023 00:00;--;3175,25;--;;;;;
16/01/2023 01:00;--;3175,25;--;;;;;
16/01/2023 02:00;--;3176,5;--;;;;;
16/01/2023 03:00;--;3176,5;--;;;;;
16/01/2023 04:00;--;3176,5;--;;;;;
16/01/2023 05:00;--;3176,5;--;;;;;
16/01/2023 06:00;--;3176,5;--;;;;;
16/01/2023 07:00;--;3176,5;--;;;;;
16/01/2023 08:00;--;3177,125;--;;;;;
16/01/2023 09:00;--;3176,5;--;;;;;
16/01/2023 10:00;--;3176,5;--;;;;;
16/01/2023 11:00;--;3177,75;--;;;;;
16/01/2023 12:00;--;3177,75;--;;;;;
16/01/2023 13:00;--;3179;--;;;;;
16/01/2023 14:00;--;3178,375;--;;;;;
16/01/2023 15:00;--;3179;--;;;;;
16/01/2023 16:00;--;3179;--;;;;;
16/01/2023 17:00;--;3178,375;--;;;;;
16/01/2023 18:00;--;3178,375;--;;;;;
16/01/2023 19:00;--;3179;--;;;;;
16/01/2023 20:00;--;3179,625;--;;;;;
16/01/2023 21:00;--;3179,625;--;;;;;
16/01/2023 22:00;--;3179,625;--;;;;;
16/01/2023 23:00;--;3179,625;--;;;;;
17/01/2023 00:00;--;3179;--;;;;;
17/01/2023 01:00;--;3180,25;--;;;;;
17/01/2023 02:00;--;3179,625;--;;;;;
17/01/2023 03:00;--;3179,625;--;;;;;
17/01/2023 04:00;--;3179,625;--;;;;;
17/01/2023 05:00;--;3179,625;--;;;;;
17/01/2023 06:00;--;3179,625;--;;;;;
17/01/2023 07:00;--;3179,625;--;;;;;
17/01/2023 08:00;--;3179;--;;;;;
17/01/2023 09:00;--;3179,625;--;;;;;
17/01/2023 10:00;--;3178,375;--;;;;;
17/01/2023 11:00;--;3178,375;--;;;;;
17/01/2023 12:00;--;3178,375;--;;;;;
17/01/2023 13:00;--;3179;--;;;;;
17/01/2023 14:00;--;3179,625;--;;;;;
17/01/2023 15:00;--;3179,625;--;;;;;
17/01/2023 16:00;--;3180,875;--;;;;;
17/01/2023 17:00;--;3181,5;--;;;;;
17/01/2023 18:00;--;3180,875;--;;;;;
17/01/2023 19:00;--;3180,875;--;;;;;
17/01/2023 20:00;--;3180,875;--;;;;;
17/01/2023 21:00;--;3180,875;--;;;;;
17/01/2023 22:00;--;3179,625;--;;;;;
17/01/2023 23:00;--;3180,25;--;;;;;
18/01/2023 00:00;--;3180,875;--;;;;;
18/01/2023 01:00;--;3179,625;--;;;;;
18/01/2023 02:00;--;3180,25;--;;;;;
18/01/2023 03:00;--;3180,25;--;;;;;
18/01/2023 04:00;--;3179,625;--;;;;;
18/01/2023 05:00;--;3180,875;--;;;;;
18/01/2023 06:00;--;3180,25;--;;;;;
18/01/2023 07:00;--;3180,25;--;;;;;
18/01/2023 08:00;--;3180,875;--;;;;;
18/01/2023 09:00;--;3180,875;--;;;;;
18/01/2023 10:00;--;3180,875;--;;;;;
18/01/2023 11:00;--;3180,25;--;;;;;
18/01/2023 12:00;--;3180,25;--;;;;;
18/01/2023 13:00;--;3180,25;--;;;;;
18/01/2023 14:00;--;3180,25;--;;;;;
18/01/2023 15:00;--;3179,625;--;;;;;
18/01/2023 16:00;--;3179,625;--;;;;;
18/01/2023 17:00;--;3179,625;--;;;;;
18/01/2023 18:00;--;3179,625;--;;;;;
18/01/2023 19:00;--;3179,625;--;;;;;
18/01/2023 20:00;--;3179,625;--;;;;;
18/01/2023 21:00;--;3179,625;--;;;;;
18/01/2023 22:00;--;3179,625;--;;;;;
18/01/2023 23:00;--;3179,625;--;;;;;
19/01/2023 00:00;--;3179,625;--;;;;;
19/01/2023 01:00;--;3179;--;;;;;
19/01/2023 02:00;--;3178,375;--;;;;;
19/01/2023 03:00;--;3177,75;--;;;;;
19/01/2023 04:00;--;3177,75;--;;;;;
19/01/2023 05:00;--;3177,125;--;;;;;
19/01/2023 06:00;--;3177,125;--;;;;;
19/01/2023 07:00;--;3177,125;--;;;;;
19/01/2023 08:00;--;3177,125;--;;;;;
19/01/2023 09:00;--;3176,5;--;;;;;
19/01/2023 10:00;--;3175,875;--;;;;;
19/01/2023 11:00;--;3175,875;--;;;;;
19/01/2023 12:00;--;3175,875;--;;;;;
19/01/2023 13:00;--;3175,875;--;;;;;
19/01/2023 14:00;--;3175,25;--;;;;;
19/01/2023 15:00;--;3175,25;--;;;;;
19/01/2023 16:00;--;3175,25;--;;;;;
19/01/2023 17:00;--;3175,25;--;;;;;
19/01/2023 18:00;--;3175,25;--;;;;;
19/01/2023 19:00;--;3175,25;--;;;;;
19/01/2023 20:00;--;3175,875;--;;;;;
19/01/2023 21:00;--;3176,5;--;;;;;
19/01/2023 22:00;--;3175,875;--;;;;;
19/01/2023 23:00;--;3175,25;--;;;;;
20/01/2023 00:00;--;3175,25;--;;;;;
20/01/2023 01:00;--;3175,25;--;;;;;
20/01/2023 02:00;--;3175,25;--;;;;;
20/01/2023 03:00;--;3175,25;--;;;;;
20/01/2023 04:00;--;3175,25;--;;;;;
20/01/2023 05:00;--;3175,25;--;;;;;
20/01/2023 06:00;--;3175,25;--;;;;;
20/01/2023 07:00;--;3175,25;--;;;;;
20/01/2023 08:00;--;3175,25;--;;;;;
20/01/2023 09:00;--;3175,25;--;;;;;
20/01/2023 10:00;--;3174;--;;;;;
20/01/2023 11:00;--;3172,75;--;;;;;
20/01/2023 12:00;--;3172,75;--;;;;;
20/01/2023 13:00;--;3173,375;--;;;;;
20/01/2023 14:00;--;3172,75;--;;;;;
20/01/2023 15:00;--;3174;--;;;;;
20/01/2023 16:00;--;3175,25;--;;;;;
20/01/2023 17:00;--;3176,5;--;;;;;
20/01/2023 18:00;--;3174;--;;;;;
20/01/2023 19:00;--;3175,25;--;;;;;
20/01/2023 20:00;--;3175,25;--;;;;;
20/01/2023 21:00;--;3175,25;--;;;;;
20/01/2023 22:00;--;3175,25;--;;;;;
20/01/2023 23:00;--;3175,25;--;;;;;
21/01/2023 00:00;--;3177,125;--;;;;;
21/01/2023 01:00;--;3175,25;--;;;;;
21/01/2023 02:00;--;3175,875;--;;;;;
21/01/2023 03:00;--;3175,875;--;;;;;
21/01/2023 04:00;--;3175,875;--;;;;;
21/01/2023 05:00;--;3176,5;--;;;;;
21/01/2023 06:00;--;3177,125;--;;;;;
21/01/2023 07:00;--;3177,125;--;;;;;
21/01/2023 08:00;--;3177,75;--;;;;;
21/01/2023 09:00;--;3177,125;--;;;;;
21/01/2023 10:00;--;3177,125;--;;;;;
21/01/2023 11:00;--;3177,125;--;;;;;
21/01/2023 12:00;--;3177,125;--;;;;;
21/01/2023 13:00;--;3177,75;--;;;;;
21/01/2023 14:00;--;3177,75;--;;;;;
21/01/2023 15:00;--;3178,375;--;;;;;
21/01/2023 16:00;--;3178,375;--;;;;;
21/01/2023 17:00;--;3178,375;--;;;;;
21/01/2023 18:00;--;3179,625;--;;;;;
21/01/2023 19:00;--;3176,5;--;;;;;
21/01/2023 20:00;--;3179,625;--;;;;;
21/01/2023 21:00;--;3180,25;--;;;;;
21/01/2023 22:00;--;3182,75;--;;;;;
21/01/2023 23:00;--;3182,125;--;;;;;
22/01/2023 00:00;--;3183,375;--;;;;;
22/01/2023 01:00;--;3183,375;--;;;;;
22/01/2023 02:00;--;3184,625;--;;;;;
22/01/2023 03:00;--;3184,625;--;;;;;
22/01/2023 04:00;--;3185,25;--;;;;;
22/01/2023 05:00;--;3185,875;--;;;;;
22/01/2023 06:00;--;3186,5;--;;;;;
22/01/2023 07:00;--;3187,125;--;;;;;
22/01/2023 08:00;--;3187,75;--;;;;;
22/01/2023 09:00;--;3188,375;--;;;;;
22/01/2023 10:00;--;3187,75;--;;;;;
22/01/2023 11:00;--;3187,75;--;;;;;
22/01/2023 12:00;--;3187,75;--;;;;;
22/01/2023 13:00;--;3187,75;--;;;;;
22/01/2023 14:00;--;3187,75;--;;;;;
22/01/2023 15:00;--;3188,375;--;;;;;
22/01/2023 16:00;--;3188,375;--;;;;;
22/01/2023 17:00;--;3188,375;--;;;;;
22/01/2023 18:00;--;3188,375;--;;;;;
22/01/2023 19:00;--;3188,375;--;;;;;
22/01/2023 20:00;--;3188,375;--;;;;;
22/01/2023 21:00;--;3189;--;;;;;
22/01/2023 22:00;--;3188,375;--;;;;;
22/01/2023 23:00;--;3188,375;--;;;;;
23/01/2023 00:00;--;3187,75;--;;;;;
23/01/2023 01:00;--;3188,375;--;;;;;
23/01/2023 02:00;--;3187,75;--;;;;;
23/01/2023 03:00;--;3187,75;--;;;;;
23/01/2023 04:00;--;3187,75;--;;;;;
23/01/2023 05:00;--;3187,75;--;;;;;
23/01/2023 06:00;--;3187,75;--;;;;;
23/01/2023 07:00;--;3188,375;--;;;;;
23/01/2023 08:00;--;3188,375;--;;;;;
23/01/2023 09:00;--;3187,75;--;;;;;
23/01/2023 10:00;--;3186,5;--;;;;;
23/01/2023 11:00;--;3186,5;--;;;;;
23/01/2023 12:00;--;3185,25;--;;;;;
23/01/2023 13:00;--;3185,875;--;;;;;
23/01/2023 14:00;--;3185,25;--;;;;;
23/01/2023 15:00;--;3185,875;--;;;;;
23/01/2023 16:00;--;3184,625;--;;;;;
23/01/2023 17:00;--;3184,625;--;;;;;
23/01/2023 18:00;--;3184;--;;;;;
23/01/2023 19:00;--;3184;--;;;;;
23/01/2023 20:00;--;3183,375;--;;;;;
23/01/2023 21:00;--;3181,5;--;;;;;
23/01/2023 22:00;--;3182,125;--;;;;;
23/01/2023 23:00;--;3180,875;--;;;;;
24/01/2023 00:00;--;3180,875;--;;;;;
24/01/2023 01:00;--;3180,875;--;;;;;
24/01/2023 02:00;--;3180,875;--;;;;;
24/01/2023 03:00;--;3180,25;--;;;;;
24/01/2023 04:00;--;3179,625;--;;;;;
24/01/2023 05:00;--;3179,625;--;;;;;
24/01/2023 06:00;--;3179;--;;;;;
24/01/2023 07:00;--;3179,625;--;;;;;
