Data-Hora;Nivel_Sensor(cm);Nivel_Display(cm);Chuva(mm);Chuva_Acum_Datalogger(mm);Temp_H2O;Press_Atm(mb);Temp_Int(C);Bateria(V);OffSet(cm);vazao(m3_s)
12/05/2023 21:00:00;9352.00;;0.00;;;;;;;
12/05/2023 22:00:00;9351.00;;0.00;;;;;;;
12/05/2023 23:00:00;9344.00;;0.00;;;;;;;
13/05/2023 00:00:00;9349.00;;0.00;;;;;;;
13/05/2023 01:00:00;9351.00;;0.00;;;;;;;
13/05/2023 02:00:00;9355.00;;0.00;;;;;;;
13/05/2023 03:00:00;9360.00;;0.00;;;;;;;
13/05/2023 04:00:00;9362.00;;0.00;;;;;;;
13/05/2023 05:00:00;9366.00;;0.00;;;;;;;
13/05/2023 06:00:00;9368.00;;0.00;;;;;;;
13/05/2023 07:00:00;9375.00;;0.00;;;;;;;
13/05/2023 08:00:00;9389.00;;0.00;;;;;;;
13/05/2023 09:00:00;9405.00;;0.00;;;;;;;
13/05/2023 10:00:00;9420.00;;0.00;;;;;;;
13/05/2023 11:00:00;9426.00;;0.00;;;;;;;
13/05/2023 12:00:00;9442.00;;0.00;;;;;;;
13/05/2023 13:00:00;9454.00;;0.00;;;;;;;
13/05/2023 14:00:00;9462.00;;0.00;;;;;;;
13/05/2023 15:00:00;9472.00;;0.00;;;;;;;
13/05/2023 16:00:00;9480.00;;0.00;;;;;;;
13/05/2023 17:00:00;9484.00;;0.00;;;;;;;
13/05/2023 18:00:00;9479.00;;0.00;;;;;;;
13/05/2023 19:00:00;9483.00;;0.00;;;;;;;
13/05/2023 20:00:00;9483.00;;0.00;;;;;;;
13/05/2023 21:00:00;9489.00;;0.00;;;;;;;
13/05/2023 22:00:00;9497.00;;0.00;;;;;;;
13/05/2023 23:00:00;9504.00;;0.00;;;;;;;
14/05/2023 00:00:00;9510.00;;0.00;;;;;;;
14/05/2023 01:00:00;9510.00;;0.00;;;;;;;
14/05/2023 02:00:00;9513.00;;0.00;;;;;;;
14/05/2023 03:00:00;9515.00;;0.00;;;;;;;
14/05/2023 04:00:00;9516.00;;0.00;;;;;;;
14/05/2023 05:00:00;9519.00;;0.00;;;;;;;
14/05/2023 06:00:00;9521.00;;0.00;;;;;;;
14/05/2023 07:00:00;9531.00;;0.00;;;;;;;
14/05/2023 08:00:00;9537.00;;0.00;;;;;;;
14/05/2023 09:00:00;9545.00;;0.00;;;;;;;
14/05/2023 10:00:00;9555.00;;0.00;;;;;;;
14/05/2023 11:00:00;9563.00;;0.00;;;;;;;
14/05/2023 12:00:00;9571.00;;0.00;;;;;;;
14/05/2023 13:00:00;9579.00;;0.00;;;;;;;
14/05/2023 14:00:00;9555.00;;0.00;;;;;;;
14/05/2023 15:00:00;9589.00;;0.00;;;;;;;
14/05/2023 16:00:00;9585.00;;0.00;;;;;;;
14/05/2023 17:00:00;9576.00;;0.00;;;;;;;
14/05/2023 18:00:00;9579.00;;0.00;;;;;;;
14/05/2023 19:00:00;9581.00;;0.00;;;;;;;
14/05/2023 20:00:00;9577.00;;0.00;;;;;;;
14/05/2023 21:00:00;9577.00;;0.00;;;;;;;
14/05/2023 22:00:00;9577.00;;0.00;;;;;;;
14/05/2023 23:00:00;9577.00;;0.00;;;;;;;
15/05/2023 00:00:00;9576.00;;0.00;;;;;;;
15/05/2023 01:00:00;9575.00;;0.00;;;;;;;
15/05/2023 02:00:00;9576.00;;0.00;;;;;;;
15/05/2023 03:00:00;9576.00;;0.00;;;;;;;
15/05/2023 04:00:00;9578.00;;0.00;;;;;;;
15/05/2023 05:00:00;9578.00;;0.00;;;;;;;
15/05/2023 06:00:00;9577.00;;0.00;;;;;;;
15/05/2023 07:00:00;9572.00;;0.00;;;;;;;
15/05/2023 08:00:00;9571.00;;0.00;;;;;;;
15/05/2023 09:00:00;9561.00;;0.00;;;;;;;
15/05/2023 10:00:00;9555.00;;0.00;;;;;;;
15/05/2023 11:00:00;9546.00;;0.00;;;;;;;
15/05/2023 12:00:00;9550.00;;0.00;;;;;;;
15/05/2023 13:00:00;9566.00;;0.00;;;;;;;
15/05/2023 14:00:00;9555.00;;0.00;;;;;;;
15/05/2023 15:00:00;9567.00;;0.00;;;;;;;
15/05/2023 16:00:00;9587.00;;0.00;;;;;;;
15/05/2023 17:00:00;9589.00;;0.00;;;;;;;
15/05/2023 18:00:00;9593.00;;0.00;;;;;;;
15/05/2023 19:00:00;9599.00;;0.00;;;;;;;
15/05/2023 20:00:00;9601.00;;0.00;;;;;;;
15/05/2023 21:00:00;9604.00;;0.00;;;;;;;
15/05/2023 22:00:00;9606.00;;0.00;;;;;;;
15/05/2023 23:00:00;9602.00;;0.00;;;;;;;
01/06/2023 00:00:00;9982.00;;0.00;;;;;;;
01/06/2023 01:00:00;10091.00;;0.00;;;;;;;
01/06/2023 02:00:00;10177.00;;0.00;;;;;;;
01/06/2023 03:00:00;10026.00;;0.00;;;;;;;
01/06/2023 04:00:00;10190.00;;0.00;;;;;;;
01/06/2023 05:00:00;10084.00;;0.00;;;;;;;
01/06/2023 06:00:00;10171.00;;0.00;;;;;;;
01/06/2023 07:00:00;10203.00;;0.00;;;;;;;
01/06/2023 08:00:00;10374.00;;0.00;;;;;;;
01/06/2023 09:00:00;10374.00;;0.00;;;;;;;
01/06/2023 10:00:00;10325.00;;0.00;;;;;;;
01/06/2023 11:00:00;10374.00;;0.00;;;;;;;
01/06/2023 12:00:00;10374.00;;0.00;;;;;;;
01/06/2023 13:00:00;10374.00;;0.00;;;;;;;
01/06/2023 14:00:00;10374.00;;0.00;;;;;;;
01/06/2023 15:00:00;10374.00;;0.00;;;;;;;
01/06/2023 16:00:00;10374.00;;0.00;;;;;;;
01/06/2023 17:00:00;10374.00;;0.00;;;;;;;
01/06/2023 18:00:00;10374.00;;0.00;;;;;;;
01/06/2023 19:00:00;10374.00;;0.00;;;;;;;
01/06/2023 20:00:00;10374.00;;0.00;;;;;;;
01/06/2023 21:00:00;10374.00;;0.00;;;;;;;
01/06/2023 22:00:00;10374.00;;0.00;;;;;;;
01/06/2023 23:00:00;10374.00;;0.00;;;;;;;
02/06/2023 00:00:00;10374.00;;0.00;;;;;;;
02/06/2023 01:00:00;10374.00;;0.00;;;;;;;
02/06/2023 02:00:00;10374.00;;0.00;;;;;;;
02/06/2023 03:00:00;10374.00;;0.00;;;;;;;
02/06/2023 04:00:00;10374.00;;0.00;;;;;;;
02/06/2023 05:00:00;10374.00;;0.00;;;;;;;
02/06/2023 06:00:00;10374.00;;0.00;;;;;;;
02/06/2023 07:00:00;10374.00;;0.00;;;;;;;
02/06/2023 08:00:00;10374.00;;0.00;;;;;;;
02/06/2023 09:00:00;10374.00;;0.00;;;;;;;
02/06/2023 10:00:00;10374.00;;0.00;;;;;;;
02/06/2023 11:00:00;10374.00;;0.00;;;;;;;
02/06/2023 12:00:00;10374.00;;0.00;;;;;;;
02/06/2023 13:00:00;10374.00;;0.00;;;;;;;
02/06/2023 14:00:00;10374.00;;0.00;;;;;;;
02/06/2023 15:00:00;10374.00;;0.00;;;;;;;
02/06/2023 16:00:00;10374.00;;0.00;;;;;;;
02/06/2023 17:00:00;10374.00;;0.00;;;;;;;
02/06/2023 18:00:00;10374.00;;0.00;;;;;;;
02/06/2023 19:00:00;10374.00;;0.00;;;;;;;
02/06/2023 20:00:00;10374.00;;0.00;;;;;;;
02/06/2023 21:00:00;10374.00;;0.00;;;;;;;
02/06/2023 22:00:00;10374.00;;0.00;;;;;;;
02/06/2023 23:00:00;10374.00;;0.00;;;;;;;
03/06/2023 00:00:00;10374.00;;0.00;;;;;;;
03/06/2023 01:00:00;10374.00;;0.00;;;;;;;
03/06/2023 02:00:00;10374.00;;0.00;;;;;;;
03/06/2023 03:00:00;10374.00;;0.00;;;;;;;
03/06/2023 04:00:00;10374.00;;0.00;;;;;;;
03/06/2023 05:00:00;10374.00;;0.00;;;;;;;
03/06/2023 06:00:00;10374.00;;0.00;;;;;;;
03/06/2023 07:00:00;10374.00;;0.00;;;;;;;
03/06/2023 08:00:00;10374.00;;0.00;;;;;;;
03/06/2023 09:00:00;10374.00;;0.00;;;;;;;
03/06/2023 10:00:00;10374.00;;0.00;;;;;;;
03/06/2023 11:00:00;10374.00;;0.00;;;;;;;
03/06/2023 12:00:00;10374.00;;0.00;;;;;;;
03/06/2023 13:00:00;10374.00;;0.00;;;;;;;
03/06/2023 14:00:00;10374.00;;0.00;;;;;;;
03/06/2023 15:00:00;10374.00;;0.00;;;;;;;
03/06/2023 16:00:00;10374.00;;0.00;;;;;;;
03/06/2023 17:00:00;10374.00;;0.00;;;;;;;
03/06/2023 18:00:00;10374.00;;0.00;;;;;;;
03/06/2023 19:00:00;10374.00;;0.00;;;;;;;
03/06/2023 20:00:00;10374.00;;0.00;;;;;;;
03/06/2023 21:00:00;10374.00;;0.00;;;;;;;
03/06/2023 22:00:00;10374.00;;0.00;;;;;;;
03/06/2023 23:00:00;10374.00;;0.00;;;;;;;
04/06/2023 00:00:00;10374.00;;0.00;;;;;;;
04/06/2023 01:00:00;10374.00;;0.00;;;;;;;
04/06/2023 02:00:00;10374.00;;0.00;;;;;;;
04/06/2023 03:00:00;10374.00;;0.00;;;;;;;
04/06/2023 04:00:00;10374.00;;0.00;;;;;;;
04/06/2023 05:00:00;10374.00;;0.00;;;;;;;
04/06/2023 06:00:00;10374.00;;0.00;;;;;;;
04/06/2023 07:00:00;10374.00;;0.00;;;;;;;
04/06/2023 08:00:00;10374.00;;0.00;;;;;;;
04/06/2023 09:00:00;10374.00;;0.00;;;;;;;
04/06/2023 10:00:00;10374.00;;0.00;;;;;;;
04/06/2023 11:00:00;10374.00;;0.00;;;;;;;
04/06/2023 12:00:00;10374.00;;0.00;;;;;;;
04/06/2023 13:00:00;10374.00;;0.00;;;;;;;
04/06/2023 14:00:00;10374.00;;0.00;;;;;;;
04/06/2023 15:00:00;10374.00;;0.00;;;;;;;
04/06/2023 16:00:00;10374.00;;0.00;;;;;;;
04/06/2023 17:00:00;10374.00;;0.00;;;;;;;
04/06/2023 18:00:00;10374.00;;0.00;;;;;;;
04/06/2023 19:00:00;10374.00;;0.00;;;;;;;
04/06/2023 21:00:00;10374.00;;0.00;;;;;;;
